studio,polish title,release year,duration (mi),director,screenplay,genre,country,universe,boxoffice (USD),budget (USD),original title,distribution
"['Pixar Animation Studios', 'Walt Disney Pictures']",WALL·E,2008,98,['Andrew Stanton'],"['Andrew Stanton', 'Jim Reardon']","['Animation', 'Family', 'Sci-fi']",['USA'],['Pixar'],521311890,180000000,WALL·E,Forum Film Poland
"['Amblin Entertainment', 'Original Pictures', 'Pariah']",Był sobie pies,2017,100,['Lasse Hallström'],"['Cathryn Michon', 'W. Bruce Cameron']","['Family', 'Comedy']",['USA'],,205035819,22000000,A Dog's Purpose,Monolith Films
"['Mediana Productions Filmgesellschaft', 'This Is That Productions']",21 gramów,2003,124,['Alejandro González Iñárritu'],['Guillermo Arriaga'],"['Crime', 'Thriller']",['USA'],,60466876,20000000,21 Grams,SPInka
"['Arts Council of England', 'BBC Films', 'Working Title Films']",Billy Elliot,2000,110,['Stephen Daldry'],['Lee Hall'],"['Drama', 'Comedy', 'Musical']","['Great Britain', 'France']",,109283018,5000000,Billy Elliot,United International Pictures Sp z o.o.
"['Malpaso Company, The', 'Warner Bros.']",Brudny Harry,1971,102,['Don Siegel'],"['Dean Riesner', 'John Milius']","['Crime', 'Sensational']",['USA'],,35988495,4000000,Dirty Harry,
"['Egg Films', 'Show East']",Oldboy,2003,120,['Chan-wook Park'],"['Joon-hyung Lim', 'Chan-wook Park']",['Thriller'],['South Korea'],,15421226,3000000,Oldeuboi,Gutek Film
"['Warner Bros.', '22 & Indiana Pictures', 'Mad Chance Productions']",Snajper,2014,134,['Clint Eastwood'],['Jason Hall'],"['Biography', 'Drama', 'War']",['USA'],,547459020,58800000,American Sniper,Warner Bros. Entertainment Polska Sp. z o. o.
"['Warner Bros.', 'Bel Air Entertainment', 'Tapestry Films']",Podaj dalej,2000,124,['Mimi Leder'],['Leslie Dixon'],['Drama'],['USA'],,55707411,40000000,Pay It Forward,Warner Bros.
"['Warner Bros.', 'Kopelson Entertainment']",Ścigany,1993,127,['Andrew Davis'],"['David Twohy', 'Jeb Stuart']",['Sensational'],['USA'],,368875760,40000000,The Fugitive,
['Liberty Films'],To wspaniałe życie,1946,130,['Frank Capra'],"['Albert Hackett', 'Jo Swerling']","['Drama', 'Fantasy', 'Festive']",['USA'],,8233303,,It's a Wonderful Life,
"['Miramax Films', 'FilmColony']",Marzyciel,2004,106,['Marc Forster'],['David Magee'],['Drama'],"['USA', 'Great Britain']",,116650613,25000000,Finding Neverland,SPInka
"['Closest to the Hole Productions', 'Fighter', 'Mandeville Films']",Fighter,2010,114,['David O. Russell'],"['Scott Silver', 'Paul Tamasy']","['Biography', 'Drama', 'Sporty']",['USA'],,129190869,25000000,The Fighter,Monolith Films
"['Canfield Pictures', 'Documentary Company, The', 'Hysteria Film']",Sugar Man,2012,85,['Malik Bendjelloul'],['Malik Bendjelloul'],"['Biography', 'Documentary', 'Musical']","['Sweden', 'Great Britain']",,9216552,,Searching for Sugar Man,Gutek Film
"['Aurum Film', 'HBO Polska', 'Polski Instytut Sztuki Filmowej']",Ostatnia rodzina,2016,124,['Jan P. Matuszyński'],['Robert Bolesto'],['Biography'],['Poland'],,2284311,,Ostatnia rodzina,Kino Świat
"['Translux', 'Working Title Films']",Czas na miłość,2013,119,['Richard Curtis'],['Richard Curtis'],"['Drama', 'Fantasy', 'Comedy', 'Romance']",['Great Britain'],,87100449,12000000,About Time,United International Pictures Sp z o.o.
['Rollins-Joffe Productions'],Annie Hall,1977,93,['Woody Allen'],"['Woody Allen', 'Marshall Brickman']",['Comedy'],['USA'],,38288028,4000000,Annie Hall,Vivarto
"['DreamWorks SKG', 'Twentieth Century Fox Film Corporation', 'ImageMovers']",Cast Away - poza światem,2000,143,['Robert Zemeckis'],['William Broyles Jr.'],['Drama'],['USA'],,429632142,90000000,Cast Away,United International Pictures Sp z o.o.
"['Playboy Productions', 'Columbia Pictures Corporation', 'Kettledrum', 'Lownes Productions']",A teraz coś z zupełnie innej beczki,1971,88,['Ian MacNaughton'],"['John Cleese', 'Graham Chapman']",['Comedy'],['Great Britain'],,,,And Now for Something Completely Different,
"['40 Acres & A Mule Filmworks', 'GH Two', 'Imagine Entertainment']",Plan doskonały,2006,129,['Spike Lee'],['Russell Gewirtz'],"['Sensational', 'Thriller']","['USA', 'Great Britain']",,186003591,45000000,Inside Man,United International Pictures Sp z o.o.
"['DC Comics', 'Legendary Pictures', 'Patalex III Productions Limited']",Batman - Początek,2005,140,['Christopher Nolan'],"['Christopher Nolan', 'David S. Goyer']","['Action', 'Sci-fi']","['USA', 'Great Britain']",['DC'],373672993,150000000,Batman Begins,Warner Bros.
"['Les Films Séville', 'ARTV', 'Canadian Film or Video Production Tax Credit']",Mama,2014,140,['Xavier Dolan'],['Xavier Dolan'],['Drama'],['Canada'],,13156856,4900000,Mommy,Solopan
"['Warner Bros.', 'Big Kid Pictures', 'Team Downey']",Sędzia,2014,141,['David Dobkin'],"['Nick Schenk', 'Bill Dubuque']","['Drama', 'Crime']",['USA'],,84419388,50000000,The Judge,Warner Bros. Entertainment Polska Sp. z o. o.
"['Appian Way', 'Kingsgate Films', 'Paper Street Films']",Z dystansu,2011,98,['Tony Kaye'],['Carl Lund'],['Drama'],['USA'],,1688710,,Detachment,
"['Alcor Films', 'Canal+', 'Regency Enterprises']",Upadek,1993,112,['Joel Schumacher'],['Ebbe Roe Smith'],['Thriller'],"['USA', 'France', 'Great Britain']",,40903593,25000000,Falling Down,Solopan
"['Twentieth Century Fox Film Corporation', 'Donners Company', 'Marvel Enterprises']",Deadpool,2016,108,['Tim Miller'],"['Rhett Reese', 'Paul Wernick']","['Comedy', 'Action', 'Sci-fi']",['USA'],['Marvel'],782836791,58000000,Deadpool,Imperial - Cinepix
"['Dino De Laurentiis Company', 'Universal Pictures', 'Metro-Goldwyn-Mayer']",Czerwony smok,2002,124,['Brett Ratner'],['Ted Tally'],['Thriller'],"['USA', 'Germany']",,209196298,78000000,Red Dragon,United International Pictures Sp z o.o.
"['Columbia Pictures Corporation', 'Jinks/Cohen Company', 'Tim Burton Productions']",Duża ryba,2003,125,['Tim Burton'],['John August'],"['Drama', 'Fantasy']",['USA'],,123218424,70000000,Big Fish,United International Pictures Sp z o.o.
"['CAB Productions', 'Canal+', 'CED Productions']",Trzy kolory: Niebieski,1993,100,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']","['Drama', 'Psychological']","['France', 'Poland', 'Switzerland']",,1391688,,Trzy kolory: Niebieski,
"['StudioCanal', 'Universal Pictures', 'DNA Films']",To właśnie miłość,2003,135,['Richard Curtis'],['Richard Curtis'],"['Comedy', 'Romance', 'Festive']","['Great Britain', 'USA', 'France']",,247358562,40000000,Love Actually,United International Pictures Sp z o.o.
"['Zespół Filmowy ""Kamera""']",Nóż w wodzie,1962,90,['Roman Polański'],"['Roman Polański', 'Jerzy Skolimowski']","['Drama', 'Psychological']",['Poland'],,,,Nóż w wodzie,
"['Apocalypso Pictures', 'arte France Cinéma', 'BFI Film Fund']",Zimna wojna,2018,88,['Paweł Pawlikowski'],"['Paweł Pawlikowski', 'Janusz Głowacki']",['Drama'],"['Poland', 'France', 'Great Britain']",,20346993,4800000,Zimna wojna,Kino Świat
"['Lorimar Film Entertainment', 'NFH Productions', 'Warner Bros.']",Niebezpieczne związki,1988,119,['Stephen Frears'],['Christopher Hampton'],"['Costume', 'Drama']","['USA', 'Great Britain']",,34670720,14000000,Dangerous Liaisons,
"['Studio Filmowe Tor', 'Wytwórnia Filmów Dokumentalnych']",Krótki film o miłości,1988,83,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']","['Drama', 'Psychological']",['Poland'],,,,Krótki film o miłości,Syrena EG
"['Film Polski', 'Studio Filmowe Tor']",Amator,1979,117,['Krzysztof Kieślowski'],['Krzysztof Kieślowski'],"['Drama', 'Psychological', 'Political']",['Poland'],,,,Amator,
"['Australian Film Commission, The', 'CiBy 2000', 'Jan Chapman Productions']",Fortepian,1993,121,['Jane Campion'],['Jane Campion'],"['Costume', 'Drama']","['Australia', 'New Zealand', 'France']",,40185556,7000000,The Piano,Best Film
"['CAB Productions', 'Canal+', 'Eurimages']",Trzy kolory: Czerwony,1994,99,['Krzysztof Kieślowski'],"['Krzysztof Kieślowski', 'Krzysztof Piesiewicz']","['Drama', 'Psychological']","['France', 'Poland', 'Switzerland']",,3600996,,Trois couleurs: Rouge,
"['Castle Rock Entertainment', 'Nelson Entertainment']",Misery,1990,107,['Rob Reiner'],['William Goldman'],['Thriller'],['USA'],['Stephen King'],61277271,20000000,Misery,Imperial
"['Zespół Filmowy ""Kamera""']",Rękopis znaleziony w Saragossie,1964,177,['Wojciech Has'],['Tadeusz Kwiatkowski'],"['Drama', 'Fantasy', 'Costume', 'Poetic']",['Poland'],,,,Rękopis znaleziony w Saragossie,
"['United Artists', 'Endgame Entertainment', 'Industrial Development Corporation of South Africa']",Hotel Ruanda,2004,121,['Terry George'],"['Keir Pearson', 'Terry George']","['Biography', 'Drama']","['Great Britain', 'Italy', 'South Africa', 'USA']",,33882243,17500000,Hotel Rwanda,Best Film
"['Zentropa Entertainments', '4 1/2 Film', 'arte France Cinéma']",Dogville,2003,178,['Lars von Trier'],['Lars von Trier'],"['Drama', 'Thriller']","['Denmark', 'Germany', 'Italy', 'France', 'Sweden', 'Norway', 'the Netherlands', 'Finland', 'Great Britain']",,16689283,10000000,,
"['Walt Disney Pictures', 'Silver Screen Partners IV', 'Walt Disney Feature Animation']",Piękna i Bestia,1991,90,"['Kirk Wise', 'Gary Trousdale']",['Linda Woolverton'],"['Animation', 'Family', 'Fairy tale']",['USA'],['Animacje Disneya'],424967620,25000000,Beauty and the Beast,Forum Film Poland
"['Canal+', 'Cofinergie 6', 'Egg Pictures']",Nienawiść,1995,96,['Mathieu Kassovitz'],['Mathieu Kassovitz'],['Drama'],['France'],,,,La haine,
"['Filmax Group', 'Canal+ España', 'Castelao Pictures']",Mechanik,2004,102,['Brad Anderson'],['Scott Kosar'],"['Drama', 'Thriller']","['Spain', 'France', 'Great Britain', 'USA']",,8203235,5000000,El Maquinista,Monolith Plus
"['Curmudgeon Films', 'Gran Via Productions', 'Mark Johnson Productions']",Bez mojej zgody,2009,109,['Nick Cassavetes'],"['Nick Cassavetes', 'Jeremy Leven']",['Drama'],['USA'],,95714875,30000000,My Sister's Keeper,Warner Bros. Entertainment Polska Sp. z o. o.
"['CiBy 2000', 'Barrandov Studios', 'Komuna']",Underground,1995,163,['Emir Kusturica'],['Emir Kusturica'],"['Drama', 'Comedy', 'War']","['France', 'Germany', 'Hungary', 'Yugoslavia', 'Bulgaria', 'The czech republic']",,,,,Solopan
"['Claudie Ossard Productions', 'Union Générale Cinématographique', 'Canal+']",Amelia,2001,129,['Jean-Pierre Jeunet'],"['Jean-Pierre Jeunet', 'Guillaume Laurant']","['Drama', 'Comedy', 'Romance']","['France', 'Germany']",,174122191,10000000,Le fabuleux destin d'Amélie Poulain,Gutek Film
"['Bavaria Film', 'Radiant Film GmbH', 'Süddeutscher Rundfunk']",Okręt,1981,149,['Wolfgang Petersen'],['Wolfgang Petersen'],"['Drama', 'War']","['Germany', 'Italy', 'France', 'Great Britain']",,84970337,14000000,Das Boot,
"['I Remember Productions', 'Newmarket Capital Group', 'Summit Entertainment']",Memento,2000,113,['Christopher Nolan'],['Christopher Nolan'],"['Crime', 'Thriller']",['USA'],,40047078,9000000,Memento,Monolith
"['PolyGram Filmed Entertainment', 'Working Title Films']",Fargo,1996,98,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']","['Drama', 'Thriller']","['USA', 'Great Britain']",,60611975,7000000,Fargo,
"['Regency Enterprises', 'Warner Bros.']",Czas zabijania,1996,149,['Joel Schumacher'],['Akiva Goldsman'],['Drama'],['USA'],,152266007,40000000,A Time to Kill,
"['Dentsu Motion Pictures', 'Fuji Television Network', 'Working Title Films']",Teoria wszystkiego,2014,123,['James Marsh'],['Anthony McCarten'],"['Biography', 'Drama']",['Great Britain'],,123726688,15000000,The Theory of Everything,United International Pictures Sp z o.o.
"['Agencja Filmowa Telewizji Polskiej', 'Agencja Produkcji Filmowej', 'Film It']",Wesele,2004,101,['Wojciech Smarzowski'],['Wojciech Smarzowski'],"['Drama', 'Comedy']",['Poland'],,,,Wesele,
"['Warner Bros.', 'Heyday Films']",Harry Potter i Insygnia Śmierci: Część I,2010,146,['David Yates'],['Steve Kloves'],"['Family', 'Fantasy', 'Adventure']","['Great Britain', 'USA']",['Harry Potter'],977070383,,Harry Potter and the Deathly Hallows: Part 1,Warner Bros. Entertainment Polska Sp. z o. o.
"['Dreamworks', 'Neal Street Productions']",1917,2019,119,['Sam Mendes'],"['Sam Mendes', 'Krysty Wilson-Cairns']","['Drama', 'War']","['USA', 'Great Britain', 'India', 'Spain', 'Canada']",,384576334,95000000,1917,Monolith Films
"['Amazon Studios', 'Big Indie Pictures', 'CMP']",Manchester by the Sea,2016,137,['Kenneth Lonergan'],['Kenneth Lonergan'],['Drama'],['USA'],,78988148,9000000,Manchester by the Sea,United International Pictures Sp z o.o.
"['El Deseo S.A.', 'Instituto de la Cinematografía y de las Artes Audiovisuales', 'Instituto Nacional de Cine y Artes Audiovisuales']",Dzikie historie,2014,122,['Damián Szifrón'],['Damián Szifrón'],['Comedy'],"['Argentina', 'Spain']",,31061476,3300000,Relatos salvajes,Gutek Film
"['Warner Bros.', 'Jerry Weintraub Productions', 'NPV Entertainment']",Ocean's Eleven: Ryzykowna gra,2001,116,['Steven Soderbergh'],['Ted Griffin'],"['Crime', 'Comedy']",['USA'],,450717150,85000000,Ocean's Eleven,Warner Bros.
"['Zespół Filmowy ""Plan""']",Nie lubię poniedziałku,1971,98,['Tadeusz Chmielewski'],['Tadeusz Chmielewski'],['Comedy'],['Poland'],,,,Nie lubię poniedziałku,
"['Atlas Entertainment', 'Classico', 'Universal Pictures']",12 małp,1995,129,['Terry Gilliam'],"['David Webb Peoples', 'Janet Peoples']","['Drama', 'Sci-fi']",['USA'],,168839459,29000000,Twelve Monkeys,
['Svensk Filmindustri'],Siódma pieczęć,1957,96,['Ingmar Bergman'],['Ingmar Bergman'],['Drama'],['Sweden'],,,,Det sjunde inseglet,Gutek Film
"['Donners Company', 'Genre Films', 'Marvel Entertainment']",Deadpool 2,2018,119,['David Leitch'],"['Rhett Reese', 'Paul Wernick']","['Comedy', 'Action', 'Sci-fi']",['USA'],['Marvel'],785896609,110000000,Deadpool 2,Imperial - Cinepix
"['Bayerischer Rundfunk', 'Creado Film', 'Wiedemann & Berg Filmproduktion']",Życie na podsłuchu,2006,137,['Florian Henckel von Donnersmarck'],['Florian Henckel von Donnersmarck'],['Drama'],"['Germany', 'France']",,77356942,2000000,Das Leben der Anderen,Monolith Plus
"['Columbia Pictures', 'Marvel Studios']",Spider-Man: Bez drogi do domu,2021,150,['Jon Watts'],"['Chris McKenna', 'Erik Sommers']","['Action', 'Sci-fi']","['USA', 'Iceland']",['Marvel'],1917430023,200000000,Spider-Man: No Way Home,
"['Regency Enterprises', 'Warner Bros.', 'Wolper Organization, The']",Tajemnice Los Angeles,1997,138,['Curtis Hanson'],"['Brian Helgeland', 'Curtis Hanson']","['Crime', 'Thriller']",['USA'],,126216940,35000000,L.A. Confidential,Warner Bros.
"['Universal Pictures', 'Hypnotic', 'Ludlum Entertainment']",Krucjata Bourne'a,2004,108,['Paul Greengrass'],"['Tony Gilroy', 'Brian Helgeland']",['Sensational'],"['Germany', 'USA']",,290835269,75000000,The Bourne Supremacy,Universal Pictures
"['Warner Bros.', 'Atmosphere Entertainment MM', 'Hollywood Gang Productions']",300,2006,117,['Zack Snyder'],"['Michael Gordon', 'Kurt Johnstad']",['Drama'],['USA'],,456082343,65000000,300,Warner Bros.
"['Bedford Falls Productions', 'Initial Entertainment Group', 'Lonely Film Productions GmbH & Co. KG.']",Krwawy diament,2006,143,['Edward Zwick'],"['Charles Leavitt', 'Marshall Herskovitz']",['Drama'],"['USA', 'Germany', 'Great Britain']",,171720398,100000000,Blood Diamond,Warner Bros.
"['Pathé Entertainment', 'Metro-Goldwyn-Mayer', 'Percy Main']",Thelma i Louise,1991,129,['Ridley Scott'],['Callie Khouri'],['Drama'],"['USA', 'France', 'Great Britain']",,45457532,16500000,Thelma & Louise,
"['Warner Bros.', '3 Arts Entertainment', 'Heyday Films']",Jestem legendą,2007,101,['Francis Lawrence'],"['Akiva Goldsman', 'Mark Protosevich']","['Horror', 'Sci-fi']",['USA'],,585410052,150000000,I Am Legend,Warner Bros.
"['Laika Entertainment', 'Patalex Productions', 'Tim Burton Animation Co.']",Gnijąca panna młoda,2005,76,"['Tim Burton', 'Mike Johnson']","['John August', 'Pamela Pettler']","['Animation', 'Comedy']","['Great Britain', 'USA']",,118133252,40000000,Corpse Bride,Warner Bros.
"['DreamWorks Animation', 'DreamWorks SKG']",Mustang z Dzikiej Doliny,2002,83,"['Lorna Cook', 'Kelly Asbury']","['Henry Mayo', 'John Fusco']","['Animation', 'Adventure', 'Family']",['USA'],,122563539,80000000,Spirit: Stallion of the Cimarron,
"['Entertainment One', 'Open Road Films', 'Anonymous Content']",Spotlight,2015,128,['Tom McCarthy'],"['Tom McCarthy', 'Josh Singer']",['Drama'],"['USA', 'Canada']",,98690254,20000000,Spotlight,United International Pictures Sp z o.o.
"['Walt Disney Animation Studios', 'Walt Disney Pictures']",Kraina lodu,2013,108,"['Chris Buck', 'Jennifer Lee']",['Jennifer Lee'],"['Animation', 'Family', 'Musical', 'Adventure']",['USA'],['Animacje Disneya'],1304550716,150000000,Frozen,Disney
"['Twentieth Century Fox Film Corporation', 'Gordon Company', 'Silver Pictures']",Szklana pułapka,1988,131,['John McTiernan'],"['Jeb Stuart', 'Steven E. de Souza']","['Sensational', 'Festive']",['USA'],,141603197,28000000,Die Hard,
"['Warner Bros.', 'CJ Entertainment', 'Southpaw Entertainment']",August Rush,2007,114,['Kirsten Sheridan'],"['James V. Hart', 'Nick Castle']","['Drama', 'Musical']",['USA'],,66122026,30000000,August Rush,Kino Świat
"['Warner Bros.', '1492 Pictures', 'Heyday Films']",Harry Potter i Kamień Filozoficzny,2001,152,['Chris Columbus'],['Steve Kloves'],"['Family', 'Fantasy', 'Adventure']","['USA', 'Great Britain']",['Harry Potter'],1023842938,125000000,Harry Potter and the Sorcerer's Stone,Warner Bros.
"['Aquarius Films', 'Screen Australia', 'See-Saw Films']",Lion. Droga do domu,2016,118,['Garth Davis'],['Luke Davies'],['Drama'],"['Australia', 'Great Britain', 'USA']",,140853810,12000000,Lion,Forum Film Poland
"['Kaibou Productions', 'LPPTV', 'M6']",Mały Książę,2015,108,['Mark Osborne'],"['Irena Brignull', 'Bob Persichetti']","['Animation', 'Fantasy', 'Adventure']",['France'],,97571250,81200000,Le Petit Prince,Kino Świat
['Morgan Creek Entertainment'],Ostatni Mohikanin,1992,112,['Michael Mann'],"['Philip Dunne', 'Michael Mann']",['Drama'],['USA'],,75505856,40000000,The Last of the Mohicans,
"['Warner Bros.', 'Alcor Films', 'Ixtlan']",Urodzeni mordercy,1994,122,['Oliver Stone'],"['Oliver Stone', 'Richard Rutowski']","['Drama', 'Thriller', 'Romance']",['USA'],,50283563,34000000,Natural Born Killers,
"['NPV Entertainment', 'Outlaw Productions', 'Village Roadshow Pictures']",Dzień próby,2001,122,['Antoine Fuqua'],['David Ayer'],"['Drama', 'Crime']","['USA', 'Australia']",,104876233,45000000,Training Day,Warner Home Video
['Paramount Pictures'],Bulwar Zachodzącego Słońca,1950,110,['Billy Wilder'],"['D.M. Marshman Jr.', 'Billy Wilder']","['Drama', 'Film-Noir']",['USA'],,,,Sunset Boulevard,
"['Marvel Studios', 'Walt Disney Pictures']",Strażnicy Galaktyki vol. 2,2017,136,['James Gunn'],['James Gunn'],"['Action', 'Sci-fi']",['USA'],['Marvel'],863756051,200000000,Guardians of the Galaxy Vol. 2,Disney
"['Heyday Films', 'Warner Bros.']",Harry Potter i Książę Półkrwi,2009,153,['David Yates'],['Steve Kloves'],"['Family', 'Fantasy', 'Adventure']","['USA', 'Great Britain']",['Harry Potter'],934492799,250000000,Harry Potter and the Half-Blood Prince,Warner Bros.
"['Allegro', 'Platige Image']",Twardowsky,2015,9,['Tomasz Bagiński'],['Błażej Dzikowski'],"['Sci-fi', 'Short']",['Poland'],,,,Twardowsky,
"['Warner Bros.', 'Canal+', 'Wolper Organization, The']",Morderstwo pierwszego stopnia,1995,120,['Marc Rocco'],['Dan Gordon'],['Drama'],"['France', 'USA']",,29481942,,Murder in the First,Syrena EG
"['Touchstone Pictures', 'Skellington Productions Inc.', 'Tim Burton Productions']",Miasteczko Halloween,1993,76,['Henry Selick'],"['Michael McDowell', 'Caroline Thompson']","['Animation', 'Fantasy', 'Musical', 'Festive']",['USA'],,91221845,18000000,The Nightmare Before Christmas,
"['Argus Film Produktie', 'Canal+', 'CoBo Fonds']",Przełamując fale,1996,159,['Lars von Trier'],"['David Pirie', 'Lars von Trier']",['Drama'],"['Denmark', 'France', 'the Netherlands', 'Norway', 'Sweden', 'Iceland', 'Spain', 'Great Britain']",,3828405,7500000,Breaking the Waves,Art House
['Zealous Creative'],The Maker,2011,6,['Christopher Kezelos'],['Christopher Kezelos'],"['Animation', 'Fantasy', 'Short']",['Australia'],,,,The Maker,
"['Constantin Film Produktion', 'Jolly Film', 'Océan Films']",Za garść dolarów,1964,99,['Sergio Leone'],"['Sergio Leone', 'Víctor Andrés Catena']",['Western'],"['Germany', 'Spain', 'Italy']",,14516248,200000,Per un pugno di dollari,
"['2.4.7. Films', 'Celluloid Dreams', 'Centre National de la Cinématographie']",Persepolis,2007,95,"['Vincent Paronnaud', 'Marjane Satrapi']",['Vincent Paronnaud'],"['Drama', 'Animation']","['France', 'USA']",,22783978,7300000,Persepolis,Gutek Film
['Marianne Productions'],Lokator,1976,125,['Roman Polański'],"['Roman Polański', 'Gérard Brach']","['Thriller', 'Psychological']",['France'],,1924733,,Le locataire,
"['Agencja Filmowa Telewizji Polskiej', 'Chimney Pot', 'Film Ilumination']",Pora umierać,2007,104,['Dorota Kędzierzawska'],['Dorota Kędzierzawska'],['Drama'],['Poland'],,,,Pora umierać,Best Film
"['Alcon Entertainment', 'Columbia Pictures', 'Scott Free Productions']",Blade Runner 2049,2017,163,['Denis Villeneuve'],"['Hampton Fancher', 'Michael Green']","['Thriller', 'Sci-fi']","['USA', 'Great Britain', 'Canada', 'Hungary', 'Spain']",,267770708,150000000,Blade Runner 2049,United International Pictures Sp z o.o.
['Ren Film'],Powrót,2003,105,['Andriej Zwiagincew'],"['Vladimir Moiseenko', 'Aleksandr Novototskiy-Vlasov']",['Drama'],['Russia'],,8482993,,Vozvrashchenie,Gutek Film
"['PolyGram Filmed Entertainment', 'Interscope Communications']",Między piekłem a niebem,1998,113,['Vincent Ward'],['Ronald Bass'],"['Fantasy', 'Drama']","['USA', 'New Zealand']",,82782927,85000000,What Dreams May Come,
['Universal Pictures'],Blues Brothers,1980,133,['John Landis'],"['Dan Aykroyd', 'John Landis']","['Comedy', 'Musical']",['USA'],,115229890,27000000,The Blues Brothers,
"['DreamWorks Pictures', 'Warner Bros.', 'Parkes/MacDonald Productions']",Sweeney Todd: Demoniczny golibroda z Fleet Street,2007,116,['Tim Burton'],['John Logan'],"['Musical', 'Thriller']","['Great Britain', 'USA']",,153383627,50000000,Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.
"['Baker Street', 'OddLot Entertainment', 'Yank Film Finance']",Hooligans,2005,109,['Lexi Alexander'],"['Lexi Alexander', 'Dougie Brimson']",['Drama'],"['USA', 'Great Britain']",,3814717,,Hooligans,ITI CINEMA
"['Summit Entertainment', 'Mr. Mudd']",Charlie,2012,103,['Stephen Chbosky'],['Stephen Chbosky'],['Drama'],['USA'],,33384127,13000000,The Perks of Being a Wallflower,
"['Warner Bros.', 'Silver Pictures']",Zabójcza broń,1987,113,['Richard Donner'],['Shane Black'],"['Crime', 'Comedy']",['USA'],,120207127,15000000,Lethal Weapon,
['Svensk Filmindustri'],"Tam, gdzie rosną poziomki",1957,91,['Ingmar Bergman'],['Ingmar Bergman'],['Drama'],['Sweden'],,,,Smultronstället,Gutek Film
"['Medusa Film', 'Sciarlò']",1900: Człowiek legenda,1998,170,['Giuseppe Tornatore'],['Giuseppe Tornatore'],"['Drama', 'Musical']",['Italy'],,21061339,9000000,La leggenda del pianista sull'oceano,Vision Film Distribution
"['Amblin Entertainment', 'Guber-Peters Company, The', 'Warner Bros.']",Kolor purpury,1985,154,['Steven Spielberg'],['Menno Meyjes'],['Drama'],['USA'],,146467863,15000000,The Color Purple,Stowarzyszenie Nowe Horyzonty
"['Centropolis Entertainment', 'Columbia Pictures Corporation', 'Global Entertainment Productions GmbH & Company Medien KG']",Patriota,2000,165,['Roland Emmerich'],['Robert Rodat'],['Drama'],"['USA', 'Germany']",,215294342,110000000,The Patriot,Syrena EG
"['Walt Disney Pictures', 'Pixar Animation Studios']",Odlot,2009,96,"['Pete Docter', 'Bob Peterson']","['Bob Peterson', 'Pete Docter']","['Animation', 'Family', 'Comedy', 'Adventure']",['USA'],['Pixar'],735099102,175000000,Up,Forum Film Poland
['Walt Disney Productions'],Zakochany kundel,1955,75,"['Hamilton Luske', 'Wilfred Jackson']","['Erdman Penner', 'Don DaGradi']","['Animation', 'Family', 'Romance', 'Musical']",['USA'],['Animacje Disneya'],93602326,4000000,Lady and the Tramp,
"['DreamWorks Animation', 'DreamWorks SKG', 'Pacific Data Images']",Madagaskar,2005,86,"['Tom McGrath', 'Eric Darnell']","['Eric Darnell', 'Tom McGrath']","['Animation', 'Family']",['USA'],,542063846,75000000,Madagascar,United International Pictures Sp z o.o.
"['Paramount Pictures', 'Lucasfilm']",Indiana Jones i Świątynia Zagłady,1984,118,['Steven Spielberg'],"['Willard Huyck', 'Gloria Katz']",['Adventure'],['USA'],,333107271,28000000,Indiana Jones and the Temple of Doom,Syrena EG
"['Yellow Bird Films', 'Danmarks Radio', 'Det Danske Filminstitut']","Millennium: Mężczyźni, którzy nienawidzą kobiet",2009,152,['Niels Arden Oplev'],"['Nikolaj Arcel', 'Rasmus Heisterberg']","['Crime', 'Thriller']","['Sweden', 'Denmark', 'Germany', 'Norway']",,104395170,13000000,Män som hatar kvinnor,Monolith Films
['Kinostudiya Mosfilm'],Stalker,1979,163,['Andriej Tarkowski'],"['Arkadij Strugacki', 'Borys Strugacki']","['Sci-fi', 'Drama']",['USSR'],,,,Stalker,
"['Ascendant Pictures', 'Weinstein Company, The', 'Capitol Films']",Zabójczy numer,2006,109,['Paul McGuigan'],['Jason Smilovic'],"['Crime', 'Comedy']","['USA', 'Germany']",,56308881,,Lucky Number Slevin,Best Film
"['3 Dogs and a Pony', 'New Zealand Film Commission', 'New Zealand Film Production Fund']",Prawdziwa historia,2005,127,['Roger Donaldson'],['Roger Donaldson'],"['Biography', 'Drama']","['New Zealand', 'USA', 'Switzerland', 'Japan']",,18297690,25000000,The World's Fastest Indian,Kino Świat
"['Zespół Filmowy ""Pryzmat""']","Poszukiwany, poszukiwana",1972,83,['Stanisław Bareja'],"['Stanisław Bareja', 'Jacek Fedorowicz']",['Comedy'],['Poland'],,,,"Poszukiwany, poszukiwana",Syrena EG
"['Fear and Loathing LLC', 'Rhino Films', 'Shark Productions']",Las Vegas Parano,1998,118,['Terry Gilliam'],"['Tony Grisoni', 'Alex Cox']","['Drama', 'Surreal', 'Comedy']",['USA'],,10680275,18500000,Fear and Loathing in Las Vegas,ITI Home Video
